A,B,C
51.75,1006.3,22.0
54.74,1006.3,22.0
50.59,1006.3,22.0
51.67,1006.3,22.0
65.67,1006.3,22.0
55.37,1006.3,22.0
49.26,1006.3,22.0
55.44,1006.3,22.0
64.05,1006.3,22.0
68.77,1006.3,22.0
48.93,1006.3,22.0
65.37,1006.3,22.0
69.45,1006.3,22.0
52.91,1006.3,22.0
53.69,1006.3,22.0
53.3,1006.3,22.0
66.17,1006.3,22.0
53.83,1006.3,22.0
50.54,1006.3,22.0
50.27,1006.3,22.0
59.08,1006.3,22.0
53.05,1006.3,22.0
57.97,1006.3,22.0
48.23,1006.3,22.0
47.16,1003.2,12.0
69.72,1003.2,12.0
62.71,1003.2,12.0
46.34,1003.2,12.0
53.15,1003.2,12.0
64.59,1003.2,12.0
58.26,1003.2,12.0
53.27,1003.2,12.0
43.68,1003.2,12.0
65.7,1003.2,12.0
66.27,1003.2,12.0
53.05,1003.2,12.0
68.45,1003.2,12.0
49.03,1003.2,12.0
66.59,1003.2,12.0
63.12,1003.2,12.0
49.13,1003.2,12.0
62.85,1003.2,12.0
64.67,1003.2,12.0
55.73,1003.2,12.0
56.42,1003.2,12.0
53.83,1003.2,12.0
45.14,1003.2,12.0
68.18,1003.2,12.0
48.41,1008.7,17.1
55.12,1008.7,17.1
46.48,1008.7,17.1
54.99,1008.7,17.1
50.62,1008.7,17.1
55.81,1008.7,17.1
59.28,1008.7,17.1
60.55,1008.7,17.1
52.62,1008.7,17.1
62.27,1008.7,17.1
49.9,1008.7,17.1
45.12,1008.7,17.1
62.85,1008.7,17.1
50.9,1008.7,17.1
49.73,1008.7,17.1
47.28,1008.7,17.1
46.67,1008.7,17.1
49.48,1008.7,17.1
59.53,1008.7,17.1
59.49,1008.7,17.1
52.25,1008.7,17.1
57.67,1008.7,17.1
54.04,1008.7,17.1
58.76,1008.7,17.1
48.6,1020.0,11.1
50.54,1020.0,11.1
38.55,1020.0,11.1
50.14,1020.0,11.1
34.86,1020.0,11.1
35.38,1020.0,11.1
41.52,1020.0,11.1
42.28,1020.0,11.1
45.11,1020.0,11.1
51.01,1020.0,11.1
43.6,1020.0,11.1
50.12,1020.0,11.1
55.07,1020.0,11.1
43.24,1020.0,11.1
49.84,1020.0,11.1
44.42,1020.0,11.1
58.77,1020.0,11.1
35.32,1020.0,11.1
34.83,1020.0,11.1
51.72,1020.0,11.1
52.39,1020.0,11.1
57.54,1020.0,11.1
50.37,1020.0,11.1
51.75,1020.0,11.1